2020-10-1413:46:12站机接收<<串口外电网1-76|01038C03E2035E065F17D713861386138659A65999595B4DB74D754D3F177F17771758094809340958014C0148014E0119011F01250220021B022217DD17C117E8000000000000598900ED022802A700C800FC597A00E30263021F00BB00BC594500BE0276026500B100A3076E005B04A4000000340067077B0065049A00000039006607A10065049200000037005C88D5
2020-10-1413:46:13站机接收<<串口外电网1-76|02038C000000000000271013861386138658F8591658E94D174CE84CFC177A1760177400030001000100000000000000000000000000000000000027102710271000000000000058E200BD00F600770098011B59140113019A00BF006800F658DC00690100004F0078010B0000000000000000000000000000000000000000000000000000000000000000000000005EAD
2020-10-1413:46:13站机接收<<串口外电网1-76|01038C03F0035C0666180E13861386138659B1599959644D954D804D6A177017781765094C094E0958014D0153014F0119011D012502220221022217E6185217F3000000000000598500E9023C02A3009F0103598300D50257021400AD00B4595200AE026A026900A5009D076F005B04A6000000360067077A0063049B00
2020-10-1413:46:13站机接收<<串口外电网1-76|00003A006407A1006204930000003700585915
2020-10-1413:46:14站机接收<<串口外电网1-76|02038C000000000000271013861386138658F5591658E84D124CEA4D0B17741762177900030001000100000000000000000000000000000000000027102710271000000000000058E400BB00FC006B009A011A590D0111019D00C1006500F558DB006801020052006E01050000000000
2020-10-1413:46:14站机接收<<串口外电网1-76|000000000000000000000000000000000000000000000000000000000000006E3B
2020-10-1413:46:14站机接收<<串口外电网1-76|01038C03D80354065017C81386137C138659B159A059664DA44D8D4D591772177E175F0936091D093B014A0143014A0116011D0121021D0216021C17DA179417EC000000000000598C00E8023602A700A00107597900CE0260024900B100BF594900BD026F027100B000AD0772005A04
2020-10-1413:46:14站机接收<<串口外电网1-76|A500000038006B07800066049A00000039006907A3005F049300000037005CB90F
2020-10-1413:46:15站机接收<<串口外电网1-76|02038C0000000000002710137B1386138058FE591B58E74D264CEA4D0817791760177500030001000100000000000000000000000000000000000027102710271000000000000058E000B600FA0076008D011A590B0118019C00C1006600F258DA00680107004C0071010800000000000000000000000000000000000000
2020-10-1413:46:15站机接收<<串口外电网1-76|000000000000000000000000000000000030EF
2020-10-1413:46:16站机接收<<串口外电网1-76|01038C03D70358065217BB1386137B138659AD59A159624DAB4D7F4D56177C1775175D09370920094101490143014A0116011E0123021D0218021D17CE179017D5000000000000598800E6023902A100AC0100597E00C5025A023100AD00B3594900B2026E026F00A400A30772005C04A300000038006D077D0066049B00000037006507A00061049500000038005D0FF2
2020-10-1413:46:16站机接收<<串口外电网1-76|01100000000241C8
2020-10-1413:46:17站机接收<<串口外电网1-76|02100000000241FB
2020-10-1413:46:17站机接收<<串口外电网1-76|02038C0000000000002710137B1386137B58FD591358E64D194CDE4D051778175F177700030001000100000000000000000000000000000000000027102710271000000000000058E600B800FE0075008B01125909011C019D00C1006400F458D5006E0109005600730104000100000000000000000000000000000000000000000000000000000000000000
2020-10-1413:46:17站机接收<<串口外电网1-76|000000607A
